2010,mm,dd,HH,SEK/kWh,C,COP
1,1,1,1,0.79,-11.1,3.9561999999999995
2,1,1,2,0.79,-10.6,3.9852
3,1,1,3,0.78,-9.1,4.0722
4,1,1,4,0.78,-10.6,3.9852
5,1,1,5,0.78,-10.2,4.0084
6,1,1,6,0.99,-10.2,4.0084
7,1,1,7,0.99,-9.9,4.025799999999999
8,1,1,8,0.99,-9.7,4.0374
9,1,1,9,0.99,-9.4,4.054799999999999
10,1,1,10,0.99,-9.2,4.0664
11,1,1,11,1.0,-8.9,4.0838
12,1,1,12,1.0,-9.7,4.0374
13,1,1,13,1.0,-8.5,4.106999999999999
14,1,1,14,1.0,-8.7,4.0954
15,1,1,15,1.0,-8.7,4.0954
16,1,1,16,1.01,-7.9,4.1418
17,1,1,17,1.02,-7.9,4.1418
18,1,1,18,1.03,-7.7,4.1533999999999995
19,1,1,19,1.02,-7.5,4.165
20,1,1,20,1.02,-7.4,4.1708
21,1,1,21,1.02,-7.4,4.1708
22,1,1,22,1.01,-7.6,4.159199999999999
23,1,1,23,0.79,-7.8,4.1476
24,1,1,24,0.78,-7.9,4.1418
25,1,2,1,0.78,-7.8,4.1476
26,1,2,2,0.78,-7.7,4.1533999999999995
27,1,2,3,0.78,-7.5,4.165
28,1,2,4,0.78,-7.8,4.1476
29,1,2,5,0.78,-7.8,4.1476
30,1,2,6,1.0,-8.0,4.135999999999999
31,1,2,7,1.01,-8.1,4.130199999999999
32,1,2,8,1.01,-8.7,4.0954
33,1,2,9,1.02,-8.9,4.0838
34,1,2,10,1.02,-11.1,3.9561999999999995
35,1,2,11,1.06,-11.5,3.933
36,1,2,12,1.08,-10.5,3.9909999999999997
37,1,2,13,1.07,-10.6,3.9852
38,1,2,14,1.05,-10.7,3.9793999999999996
39,1,2,15,1.07,-13.0,3.8459999999999996
40,1,2,16,1.11,-10.1,4.0142
41,1,2,17,1.32,-9.7,4.0374
42,1,2,18,1.49,-9.8,4.031599999999999
43,1,2,19,1.32,-9.8,4.031599999999999
44,1,2,20,1.17,-9.9,4.025799999999999
45,1,2,21,1.09,-10.0,4.02
46,1,2,22,1.05,-10.3,4.002599999999999
47,1,2,23,0.83,-10.6,3.9852
48,1,2,24,0.8,-11.5,3.933
49,1,3,1,0.8,-11.2,3.9503999999999997
50,1,3,2,0.8,-11.2,3.9503999999999997
51,1,3,3,0.79,-11.3,3.9445999999999994
52,1,3,4,0.79,-14.7,3.7474
53,1,3,5,0.79,-13.4,3.8227999999999995
54,1,3,6,0.79,-12.1,3.8981999999999997
55,1,3,7,0.8,-10.2,4.0084
56,1,3,8,0.8,-8.6,4.1011999999999995
57,1,3,9,0.8,-8.5,4.106999999999999
58,1,3,10,0.8,-9.4,4.054799999999999
59,1,3,11,0.82,-9.2,4.0664
60,1,3,12,0.82,-8.6,4.1011999999999995
61,1,3,13,0.83,-8.0,4.135999999999999
62,1,3,14,0.82,-7.6,4.159199999999999
63,1,3,15,0.82,-7.2,4.1823999999999995
64,1,3,16,0.85,-6.8,4.2056
65,1,3,17,0.91,-5.9,4.2578
66,1,3,18,0.95,-5.1,4.3042
67,1,3,19,0.93,-4.9,4.315799999999999
68,1,3,20,0.9,-4.2,4.3564
69,1,3,21,0.84,-4.0,4.367999999999999
70,1,3,22,0.83,-4.1,4.3622
