Månad,Dag,Veckodag,Timme,Årstimme,Nordpool 2015 (SEK/MWh),Nordpool 2013 (SEK/MWh),Nordpool 2010 (SEK/MWh),Nordpool 2015 (öre/kWh),Nordpool 2013 (öre/kWh),Nordpool 2010 (öre/kWh),Elbolagets påslag (öre/kWh),Elcertifikat (öre/kWh),Energiskatt (öre/kWh),Elöverföring nät (Lkp) (öre/kWh),Totalt Nordpool 2015 (SEK/kWh),Totalt Nordpool 2013 (SEK/kWh),Totalt Nordpool 2010 (SEK/kWh)
1,1,Tor,1,1, 258.19    , 265.98    , 405.36    , 25.82    , 26.60    , 40.54    , 2.0    , 3.0    , 29.4    , 3.7    , 0.64    , 0.65    , 0.79    
1,1,Tor,2,2, 220.38    , 235.73    , 404.23    , 22.04    , 23.57    , 40.42    , 2.0    , 3.0    , 29.4    , 3.7    , 0.60    , 0.62    , 0.79    
1,1,Tor,3,3, 182.28    , 209.43    , 399.94    , 18.23    , 20.94    , 39.99    , 2.0    , 3.0    , 29.4    , 3.7    , 0.56    , 0.59    , 0.78    
1,1,Tor,4,4, 166.53    , 186.89    , 397.38    , 16.65    , 18.69    , 39.74    , 2.0    , 3.0    , 29.4    , 3.7    , 0.55    , 0.57    , 0.78    
1,1,Tor,5,5, 165.31    , 191.69    , 396.36    , 16.53    , 19.17    , 39.64    , 2.0    , 3.0    , 29.4    , 3.7    , 0.55    , 0.57    , 0.78    
1,1,Tor,6,6, 170.40    , 218.60    , 397.38    , 17.04    , 21.86    , 39.74    , 2.0    , 3.0    , 29.4    , 25.0    , 0.76    , 0.81    , 0.99    
1,1,Tor,7,7, 237.92    , 239.33    , 398.71    , 23.79    , 23.93    , 39.87    , 2.0    , 3.0    , 29.4    , 25.0    , 0.83    , 0.83    , 0.99    
1,1,Tor,8,8, 252.72    , 240.02    , 399.43    , 25.27    , 24.00    , 39.94    , 2.0    , 3.0    , 29.4    , 25.0    , 0.85    , 0.83    , 0.99    
1,1,Tor,9,9, 254.33    , 238.22    , 397.48    , 25.43    , 23.82    , 39.75    , 2.0    , 3.0    , 29.4    , 25.0    , 0.85    , 0.83    , 0.99    
1,1,Tor,10,10, 247.91    , 234.36    , 398.10    , 24.79    , 23.44    , 39.81    , 2.0    , 3.0    , 29.4    , 25.0    , 0.84    , 0.83    , 0.99    
1,1,Tor,11,11, 245.75    , 241.82    , 401.78    , 24.58    , 24.18    , 40.18    , 2.0    , 3.0    , 29.4    , 25.0    , 0.84    , 0.84    , 1.00    
1,1,Tor,12,12, 241.03    , 259.38    , 405.77    , 24.10    , 25.94    , 40.58    , 2.0    , 3.0    , 29.4    , 25.0    , 0.84    , 0.85    , 1.00    
1,1,Tor,13,13, 244.33    , 259.38    , 406.38    , 24.43    , 25.94    , 40.64    , 2.0    , 3.0    , 29.4    , 25.0    , 0.84    , 0.85    , 1.00    
1,1,Tor,14,14, 239.71    , 265.81    , 405.97    , 23.97    , 26.58    , 40.60    , 2.0    , 3.0    , 29.4    , 25.0    , 0.83    , 0.86    , 1.00    
1,1,Tor,15,15, 252.54    , 277.29    , 409.24    , 25.25    , 27.73    , 40.92    , 2.0    , 3.0    , 29.4    , 25.0    , 0.85    , 0.87    , 1.00    
1,1,Tor,16,16, 259.42    , 288.26    , 417.43    , 25.94    , 28.83    , 41.74    , 2.0    , 3.0    , 29.4    , 25.0    , 0.85    , 0.88    , 1.01    
1,1,Tor,17,17, 267.06    , 299.57    , 429.19    , 26.71    , 29.96    , 42.92    , 2.0    , 3.0    , 29.4    , 25.0    , 0.86    , 0.89    , 1.02    
1,1,Tor,18,18, 267.43    , 310.54    , 437.47    , 26.74    , 31.05    , 43.75    , 2.0    , 3.0    , 29.4    , 25.0    , 0.86    , 0.90    , 1.03    
1,1,Tor,19,19, 265.74    , 313.54    , 428.78    , 26.57    , 31.35    , 42.88    , 2.0    , 3.0    , 29.4    , 25.0    , 0.86    , 0.91    , 1.02    
1,1,Tor,20,20, 262.25    , 311.40    , 421.62    , 26.23    , 31.14    , 42.16    , 2.0    , 3.0    , 29.4    , 25.0    , 0.86    , 0.91    , 1.02    
1,1,Tor,21,21, 258.95    , 303.94    , 422.64    , 25.90    , 30.39    , 42.26    , 2.0    , 3.0    , 29.4    , 25.0    , 0.85    , 0.90    , 1.02    
1,1,Tor,22,22, 255.18    , 294.86    , 420.70    , 25.52    , 29.49    , 42.07    , 2.0    , 3.0    , 29.4    , 25.0    , 0.85    , 0.89    , 1.01    
1,1,Tor,23,23, 248.95    , 296.92    , 410.68    , 24.90    , 29.69    , 41.07    , 2.0    , 3.0    , 29.4    , 3.7    , 0.63    , 0.68    , 0.79    
1,1,Tor,24,24, 173.13    , 278.06    , 399.22    , 17.31    , 27.81    , 39.92    , 2.0    , 3.0    , 29.4    , 3.7    , 0.55    , 0.66    , 0.78    
1,2,Fre,1,25, 167.59    , 281.41    , 403.31    , 16.76    , 28.14    , 40.33    , 2.0    , 3.0    , 29.4    , 3.7    , 0.55    , 0.66    , 0.78    
1,2,Fre,2,26, 90.67    , 277.21    , 403.93    , 9.07    , 27.72    , 40.39    , 2.0    , 3.0    , 29.4    , 3.7    , 0.47    , 0.66    , 0.78    
1,2,Fre,3,27, 72.29    , 272.75    , 401.06    , 7.23    , 27.28    , 40.11    , 2.0    , 3.0    , 29.4    , 3.7    , 0.45    , 0.65    , 0.78    
1,2,Fre,4,28, 102.08    , 275.66    , 398.51    , 10.21    , 27.57    , 39.85    , 2.0    , 3.0    , 29.4    , 3.7    , 0.48    , 0.66    , 0.78    
1,2,Fre,5,29, 218.11    , 282.52    , 399.84    , 21.81    , 28.25    , 39.98    , 2.0    , 3.0    , 29.4    , 3.7    , 0.60    , 0.66    , 0.78    
1,2,Fre,6,30, 246.01    , 300.09    , 405.26    , 24.60    , 30.01    , 40.53    , 2.0    , 3.0    , 29.4    , 25.0    , 0.84    , 0.89    , 1.00    
1,2,Fre,7,31, 256.84    , 311.57    , 412.11    , 25.68    , 31.16    , 41.21    , 2.0    , 3.0    , 29.4    , 25.0    , 0.85    , 0.91    , 1.01    
1,2,Fre,8,32, 267.40    , 332.91    , 418.96    , 26.74    , 33.29    , 41.90    , 2.0    , 3.0    , 29.4    , 25.0    , 0.86    , 0.93    , 1.01    
1,2,Fre,9,33, 267.40    , 337.79    , 421.92    , 26.74    , 33.78    , 42.19    , 2.0    , 3.0    , 29.4    , 25.0    , 0.86    , 0.93    , 1.02    
1,2,Fre,10,34, 266.93    , 330.25    , 428.88    , 26.69    , 33.03    , 42.89    , 2.0    , 3.0    , 29.4    , 25.0    , 0.86    , 0.92    , 1.02    
1,2,Fre,11,35, 266.74    , 331.45    , 465.90    , 26.67    , 33.15    , 46.59    , 2.0    , 3.0    , 29.4    , 25.0    , 0.86    , 0.93    , 1.06    
1,2,Fre,12,36, 267.59    , 329.82    , 484.20    , 26.76    , 32.98    , 48.42    , 2.0    , 3.0    , 29.4    , 25.0    , 0.86    , 0.92    , 1.08    
1,2,Fre,13,37, 266.74    , 326.22    , 476.33    , 26.67    , 32.62    , 47.63    , 2.0    , 3.0    , 29.4    , 25.0    , 0.86    , 0.92    , 1.07    
1,2,Fre,14,38, 266.18    , 325.19    , 460.68    , 26.62    , 32.52    , 46.07    , 2.0    , 3.0    , 29.4    , 25.0    , 0.86    , 0.92    , 1.05    
1,2,Fre,15,39, 265.05    , 324.85    , 478.88    , 26.51    , 32.49    , 47.89    , 2.0    , 3.0    , 29.4    , 25.0    , 0.86    , 0.92    , 1.07    
1,2,Fre,16,40, 266.08    , 332.91    , 517.44    , 26.61    , 33.29    , 51.74    , 2.0    , 3.0    , 29.4    , 25.0    , 0.86    , 0.93    , 1.11    
