Månad,Dag,Timme,Årstimme,Meteonorm Lkp Utetemp (grad C),Meteonorm Lkp Utetemp heltal (grad C),SMHI Lkp 2015 Utetemp (grad C),SMHI Lkp 2015 Utetemp heltal (grad C),SMHI Lkp 2013 Utetemp (grad C),SMHI Lkp 2013 Utetemp heltal (grad C),SMHI Lkp 2010 Utetemp (grad C),SMHI Lkp 2010 Utetemp heltal (grad C)
1,1,1,1,4.7, 5    , 3.50    , 4    , 5.10    , 5    ,-11.10    ,-11    
1,1,2,2,5.6, 6    , 3.70    , 4    , 5.10    , 5    ,-10.60    ,-11    
1,1,3,3,5.3, 5    , 3.70    , 4    , 5.30    , 5    ,-9.10    ,-9    
1,1,4,4,5.2, 5    , 3.90    , 4    , 5.40    , 5    ,-10.60    ,-11    
1,1,5,5,5.1, 5    , 4.00    , 4    , 5.40    , 5    ,-10.20    ,-10    
1,1,6,6,5, 5    , 4.30    , 4    , 6.00    , 6    ,-10.20    ,-10    
1,1,7,7,4.8, 5    , 4.10    , 4    , 5.90    , 6    ,-9.90    ,-10    
1,1,8,8,4.8, 5    , 4.30    , 4    , 5.90    , 6    ,-9.70    ,-10    
1,1,9,9,4.8, 5    , 4.30    , 4    , 4.90    , 5    ,-9.40    ,-9    
1,1,10,10,4.8, 5    , 5.20    , 5    , 4.70    , 5    ,-9.20    ,-9    
1,1,11,11,4.8, 5    , 5.10    , 5    , 4.40    , 4    ,-8.90    ,-9    
1,1,12,12,4.8, 5    , 5.20    , 5    , 4.30    , 4    ,-9.70    ,-10    
1,1,13,13,4.9, 5    , 5.40    , 5    , 4.20    , 4    ,-8.50    ,-9    
1,1,14,14,4.8, 5    , 6.30    , 6    , 3.90    , 4    ,-8.70    ,-9    
1,1,15,15,4.8, 5    , 6.80    , 7    , 3.30    , 3    ,-8.70    ,-9    
1,1,16,16,4.7, 5    , 7.10    , 7    , 2.60    , 3    ,-7.90    ,-8    
1,1,17,17,4.5, 5    , 7.40    , 7    , 1.70    , 2    ,-7.90    ,-8    
1,1,18,18,4.2, 4    , 7.40    , 7    , 1.20    , 1    ,-7.70    ,-8    
1,1,19,19,3.8, 4    , 6.90    , 7    , 0.90    , 1    ,-7.50    ,-8    
1,1,20,20,4.1, 4    , 6.50    , 7    , 1.50    , 2    ,-7.40    ,-7    
1,1,21,21,3.7, 4    , 6.50    , 7    , 0.60    , 1    ,-7.40    ,-7    
1,1,22,22,3.8, 4    , 6.60    , 7    , 1.50    , 2    ,-7.60    ,-8    
1,1,23,23,3.7, 4    , 6.70    , 7    , 1.70    , 2    ,-7.80    ,-8    
1,1,24,24,3.7, 4    , 6.70    , 7    , 1.70    , 2    ,-7.90    ,-8    
1,2,1,25,3.5, 4    , 6.50    , 7    , 2.40    , 2    ,-7.80    ,-8    
1,2,2,26,3.1, 3    , 6.40    , 6    , 2.00    , 2    ,-7.70    ,-8    
1,2,3,27,3.1, 3    , 6.30    , 6    , 2.10    , 2    ,-7.50    ,-8    
1,2,4,28,3.1, 3    , 6.40    , 6    , 2.20    , 2    ,-7.80    ,-8    
1,2,5,29,3, 3    , 6.60    , 7    , 2.30    , 2    ,-7.80    ,-8    
1,2,6,30,2.9, 3    , 7.30    , 7    , 2.40    , 2    ,-8.00    ,-8    
1,2,7,31,2.8, 3    , 8.50    , 9    , 2.30    , 2    ,-8.10    ,-8    
1,2,8,32,2.7, 3    , 8.90    , 9    , 2.10    , 2    ,-8.70    ,-9    
1,2,9,33,2.7, 3    , 9.30    , 9    , 2.10    , 2    ,-8.90    ,-9    
1,2,10,34,3.2, 3    , 8.60    , 9    , 2.10    , 2    ,-11.10    ,-11    
1,2,11,35,3.7, 4    , 8.00    , 8    , 2.70    , 3    ,-11.50    ,-12    
1,2,12,36,4.1, 4    , 7.60    , 8    , 2.50    , 3    ,-10.50    ,-11    
1,2,13,37,4.3, 4    , 7.00    , 7    , 2.50    , 3    ,-10.60    ,-11    
1,2,14,38,4.4, 4    , 6.40    , 6    , 2.50    , 3    ,-10.70    ,-11    
1,2,15,39,4.2, 4    , 5.90    , 6    , 2.30    , 2    ,-13.00    ,-13    
1,2,16,40,3.9, 4    , 4.80    , 5    , 1.60    , 2    ,-10.10    ,-10    
1,2,17,41,3.7, 4    , 4.50    , 5    , 1.40    , 1    ,-9.70    ,-10    
1,2,18,42,3.5, 4    , 4.40    , 4    , 1.30    , 1    ,-9.80    ,-10    
1,2,19,43,3.4, 3    , 3.70    , 4    , 1.80    , 2    ,-9.80    ,-10    
1,2,20,44,3.2, 3    , 3.50    , 4    , 1.40    , 1    ,-9.90    ,-10    
